id,url,zh_tw,ja,en,translate,note
7o,https://www.busfan.club/genre/7o,AVOPEN2016乙女部門,AVOPEN2016乙女部門,AV OPEN 2016 Virgin Division,,
uncensored-c,https://www.busfan.club/uncensored/genre/c,AV女優,AV女優,AV女優,AV女優,
uncensored-199,https://www.busfan.club/uncensored/genre/199,C罩杯,Cカップ,Cカップ,C罩杯,
g,https://www.busfan.club/genre/g,DMM獨家,独占配信,DMM Exclusive,, 发行商不作为影片标签
5q,https://www.busfan.club/genre/5q,DMM專屬,DMM配信限定,DMM Exclusive,, 发行商不作为影片标签
7c,https://www.busfan.club/genre/7c,Don Cipote's choice,Don Cipote's choice,Don Cipote's choice,, 一个奇怪的标签，而且这个标签下只有一部影片
4g,https://www.busfan.club/genre/4g,DVD多士爐,DVDトースター,DVD Toaster,, 一种（过时的）DVD设备，长得像烤面包机。影片的载体不适合作为影片标签
uncensored-9x,https://www.busfan.club/uncensored/genre/9x,D罩杯,Dカップ,Dカップ,D罩杯,
uncensored-3z,https://www.busfan.club/uncensored/genre/3z,E罩杯,Eカップ,Eカップ,E罩杯,
uncensored-5h,https://www.busfan.club/uncensored/genre/5h,F罩杯,Fカップ,Fカップ,F罩杯,
uncensored-gre076,https://www.busfan.club/uncensored/genre/gre076,G罩杯,Gカップ,Gカップ,G罩杯,
uncensored-gre082,https://www.busfan.club/uncensored/genre/gre082,H罩杯,Hカップ,Hカップ,H罩杯,
uncensored-mu,https://www.busfan.club/uncensored/genre/mu,I罩杯,Iカップ,Iカップ,I罩杯,
uncensored-1dg,https://www.busfan.club/uncensored/genre/1dg,KTV,カラオケルーム,Karaoke room,KTV,
6k,https://www.busfan.club/genre/6k,M男,M男,Masochist Man,M男,
el,https://www.busfan.club/genre/el,M女,M女,M女,M女,
18,https://www.busfan.club/genre/18,OL,OL,Office Lady,OL,
5o,https://www.busfan.club/genre/5o,R-15,R-15,R-15,R-15,
5n,https://www.busfan.club/genre/5n,R-18,R-18,Restricted to Under ,R-18,
1b,https://www.busfan.club/genre/1b,SM,SM,BDSM,SM,
uncensored-gre131,https://www.busfan.club/uncensored/genre/gre131,SM,SM,SM,SM,
uncensored-1av,https://www.busfan.club/uncensored/genre/1av,S級女優,超有名S級女優,Famous Names,S級女優,
uncensored-16,https://www.busfan.club/uncensored/genre/16,VIP,VIP,VIP,VIP,
uncensored-gre162,https://www.busfan.club/uncensored/genre/gre162,VR,VR,VR,VR,
7x,https://www.busfan.club/genre/7x,VR専用,VR専用,VR,VR,
7d,https://www.busfan.club/genre/7d,Vシネマ,Vシネマ,Vシネマ,非戏院首映, 指直接面向公众发行，而不先走影院或者广播电视途径的电影 https://en.wikipedia.org/wiki/Direct-to-video
7g,https://www.busfan.club/genre/7g,アクション,アクション,Action,特摄片, 直译应为'动作片'，实际上这个系列主要是各种装扮的正义女英雄打击坏人/怪物，翻译为'特摄片'感觉更准确
e3,https://www.busfan.club/genre/e3,アクメ・オーガズム,アクメ・オーガズム,アクメ・オーガズム,绝顶高潮,
dy,https://www.busfan.club/genre/dy,アスリート,アスリート,アスリート,运动员,
7f,https://www.busfan.club/genre/7f,アニメ,アニメ,Anime,日漫,
7h,https://www.busfan.club/genre/7h,イメージビデオ（男性）,イメージビデオ（男性）,Pretty Boy,, 这个分类只有一部影片，而且你应该不会对它感兴趣。。。好奇的自己去看吧。。。
f4,https://www.busfan.club/genre/f4,エマニエル,エマニエル,エマニエル,, 'エマニエル'实际上是片商，主要出人妻、熟女向影片。嗯，片商就该待在自己的标签studio里，不要赖在genre里
ee,https://www.busfan.club/genre/ee,エロス,エロス,エロス,爱的感觉, 根据第二意项'純な友情および真善美への努力の象徴'的意译
fc,https://www.busfan.club/genre/fc,オタク,オタク,オタク,御宅族,
dx,https://www.busfan.club/genre/dx,オナサポ,オナサポ,オナサポ,手淫,
er,https://www.busfan.club/genre/er,お風呂,お風呂,お風呂,浴室,
f0,https://www.busfan.club/genre/f0,お婆ちゃん,お婆ちゃん,お婆ちゃん,外婆,
eu,https://www.busfan.club/genre/eu,お爺ちゃん,お爺ちゃん,お爺ちゃん,爷爷,
6v,https://www.busfan.club/genre/6v,キス・接吻,キス・接吻,Kiss Kiss,接吻,
7v,https://www.busfan.club/genre/7v,コミック雑誌,コミック雑誌,コミック雑誌,漫画杂志,
fa,https://www.busfan.club/genre/fa,サイコ・スリラー,サイコ・スリラー,サイコ・スリラー,心理惊悚片,
f9,https://www.busfan.club/genre/f9,サンプル動画,サンプル動画,サンプル動画,示例影片,
e8,https://www.busfan.club/genre/e8,スパンキング,スパンキング,スパンキング,打屁股,
77,https://www.busfan.club/genre/77,スマホ専用縦動画,スマホ専用縦動画,Special Smartphone Vertical Video,手机视频,
e9,https://www.busfan.club/genre/e9,スワッピング・夫婦交換,スワッピング・夫婦交換,スワッピング・夫婦交換,交换伴侣, 或者'易内'，但是感觉不是那么好理解
eh,https://www.busfan.club/genre/eh,セクシー,セクシー,セクシー,性感,
eo,https://www.busfan.club/genre/eo,セレブ,セレブ,セレブ,名流,
f2,https://www.busfan.club/genre/f2,チアガール,チアガール,チアガール,啦啦队女孩,
ew,https://www.busfan.club/genre/ew,ディルド,ディルド,ディルド,假阳具,
e5,https://www.busfan.club/genre/e5,デート,デート,デート,约会,
6o,https://www.busfan.club/genre/6o,デカチン・巨根,デカチン・巨根,Huge Dick - Large Dick,巨根,
en,https://www.busfan.club/genre/en,ノーパン,ノーパン,ノーパン,不穿内裤,
ej,https://www.busfan.club/genre/ej,ノーブラ,ノーブラ,ノーブラ,不戴胸罩,
6s,https://www.busfan.club/genre/6s,ハーレム,ハーレム,ハーレム,后宫,
e0,https://www.busfan.club/genre/e0,ハイクオリティVR,ハイクオリティVR,ハイクオリティVR,高品质VR,
ed,https://www.busfan.club/genre/ed,バック,バック,バック,后入式,
f1,https://www.busfan.club/genre/f1,ビジネススーツ,ビジネススーツ,ビジネススーツ,职业装,
7t,https://www.busfan.club/genre/7t,ビッチ,ビッチ,ビッチ,bitch, 这个词感觉用英文比较达意
6p,https://www.busfan.club/genre/6p,ファン感謝・訪問,ファン感謝・訪問,Fan Appreciation/ Home Visit,感谢祭,
uncensored-gre153,https://www.busfan.club/uncensored/genre/gre153,ブルマ,ブルマ,ブルマ,ブルマ,
e1,https://www.busfan.club/genre/e1,ヘルス・ソープ,ヘルス・ソープ,ヘルス・ソープ,保健皂,
7j,https://www.busfan.club/genre/7j,ボーイズラブ,ボーイズラブ,BL,耽美,
e2,https://www.busfan.club/genre/e2,ホテル,ホテル,ホテル,旅馆,
f3,https://www.busfan.club/genre/f3,ママ友,ママ友,ママ友,妈妈的朋友,
ex,https://www.busfan.club/genre/ex,ヨガ,ヨガ,ヨガ,瑜伽,
fb,https://www.busfan.club/genre/fb,ラブコメ,ラブコメ,ラブコメ,爱情喜剧,
uncensored-gre145,https://www.busfan.club/uncensored/genre/gre145,愛情旅館,ラブホ,ラブホ,愛情旅館,
45,https://www.busfan.club/genre/45,按摩,マッサージ,Massage,按摩,
uncensored-6w,https://www.busfan.club/uncensored/genre/6w,按摩,マッサージ,マッサージ,按摩,
6,https://www.busfan.club/genre/6,按摩棒,バイブ,Vibrator,按摩棒,
uncensored-18,https://www.busfan.club/uncensored/genre/18,白領,OL,OL,白領,
ek,https://www.busfan.club/genre/ek,白目・失神,白目・失神,白目・失神,白眼失神,
2a,https://www.busfan.club/genre/2a,白人,白人女優,Caucasian Actress,白人,
uncensored-gre163,https://www.busfan.club/uncensored/genre/gre163,白人,洋物,Western,白人,
uncensored-gre142,https://www.busfan.club/uncensored/genre/gre142,白天,昼間,昼間,白天,
58,https://www.busfan.club/genre/58,伴侶,コンパニオン,Hostess,伴侣,
uncensored-59,https://www.busfan.club/uncensored/genre/59,辦公室,オフィス,office,辦公室,
uncensored-gre134,https://www.busfan.club/uncensored/genre/gre134,綁縛,縄,縄,綁縛,
3u,https://www.busfan.club/genre/3u,薄馬賽克,ギリモザ,Minimal Mosaic,薄码,
uncensored-r5,https://www.busfan.club/uncensored/genre/r5,保健室,保健室,保健室,保健室,
uncensored-bk,https://www.busfan.club/uncensored/genre/bk,保守,清楚,清楚,保守,
uncensored-we,https://www.busfan.club/uncensored/genre/we,暴露,暴露,暴露,暴露,
uncensored-gre075,https://www.busfan.club/uncensored/genre/gre075,爆乳,爆乳,爆乳,爆乳,
f7,https://www.busfan.club/genre/f7,鼻フック,鼻フック,鼻フック,鼻夹,
uncensored-gre057,https://www.busfan.club/uncensored/genre/gre057,比基尼,ビキニ,ビキニ,比基尼,
uncensored-15z,https://www.busfan.club/uncensored/genre/15z,鞭打,鞭,鞭,鞭打,
uncensored-rk,https://www.busfan.club/uncensored/genre/rk,便利店,コンビニ,コンビニ,便利店,
uncensored-29,https://www.busfan.club/uncensored/genre/29,變態,変態,変態,變態,
uncensored-wo,https://www.busfan.club/uncensored/genre/wo,變態遊戲,変態プレイ,変態プレイ,變態遊戲,
2g,https://www.busfan.club/genre/2g,變性者,ニューハーフ,Transsexual,变性人,
uncensored-9p,https://www.busfan.club/uncensored/genre/9p,別墅,別荘,別荘,別墅,
ep,https://www.busfan.club/genre/ep,病院・クリニック,病院・クリニック,病院・クリニック,医院・诊所,
uncensored-12r,https://www.busfan.club/uncensored/genre/12r,播音員,キャスター・女子アナ等,announcer,播音員,
uncensored-cd,https://www.busfan.club/uncensored/genre/cd,不穿內褲,ノーパン,ノーパン,不穿內褲,
uncensored-ce,https://www.busfan.club/uncensored/genre/ce,不戴胸罩,ノーブラ,ノーブラ,不戴胸罩,
uncensored-gre016,https://www.busfan.club/uncensored/genre/gre016,不忠,不倫・浮気,不倫・浮気,不忠,
ez,https://www.busfan.club/genre/ez,部活・マネージャー,部活・マネージャー,部活・マネージャー,社团经理,
ea,https://www.busfan.club/genre/ea,部下・同僚,部下・同僚,部下・同僚,部下・同僚,
uncensored-gre141,https://www.busfan.club/uncensored/genre/gre141,踩踏,踏みつけ,踏みつけ,踩踏,
3x,https://www.busfan.club/genre/3x,殘忍畫面,残虐表現,Cruelty,残忍画面,
uncensored-uc,https://www.busfan.club/uncensored/genre/uc,側位內射,側位中出し,creampie-duck neck,側位內射,
uncensored-gre149,https://www.busfan.club/uncensored/genre/gre149,廁所,トイレ,トイレ,廁所,
uncensored-11l,https://www.busfan.club/uncensored/genre/11l,插兩根,マンコ2本挿し,two cocks in one pussy,插兩根,
3h,https://www.busfan.club/genre/3h,插入異物,異物挿入,Object Insertion,插入异物,
uncensored-gre081,https://www.busfan.club/uncensored/genre/gre081,長發,黒髪ロング,黒髪ロング,長發,
uncensored-1f,https://www.busfan.club/uncensored/genre/1f,超VIP,超VIP,超VIP,超VIP,
6f,https://www.busfan.club/genre/6f,超級女英雄,変身ヒロイン,Super Heroine,超级女英雄,
5d,https://www.busfan.club/genre/5d,超乳,超乳,Huge Tits,超乳,
1z,https://www.busfan.club/genre/1z,潮吹,潮吹き,Squirting,潮吹,
uncensored-gre091,https://www.busfan.club/uncensored/genre/gre091,潮吹,潮吹き,Shiofuki,潮吹,
uncensored-30,https://www.busfan.club/uncensored/genre/30,車,車,車,車,
uncensored-gre146,https://www.busfan.club/uncensored/genre/gre146,車內,車内,車内,車內,
2o,https://www.busfan.club/genre/2o,車掌小姐,バスガイド,Bus Tour Guide,车掌小姐,
uncensored-2g,https://www.busfan.club/uncensored/genre/2g,車震,カーセックス,カーセックス,車震,
uncensored-117,https://www.busfan.club/uncensored/genre/117,扯破連褲襪,パンスト破き・切り,tearing pantyhose,扯破連褲襪,
13,https://www.busfan.club/genre/13,成熟的女人,熟女,Mature Woman,熟女,
uncensored-gre025,https://www.busfan.club/uncensored/genre/gre025,痴女,痴女,Lust woman,痴女,
uncensored-eu,https://www.busfan.club/uncensored/genre/eu,出差,出張,出張,出差,
4r,https://www.busfan.club/genre/4r,出軌,寝取り・寝取られ,Cheating Wife,出轨,
uncensored-h1,https://www.busfan.club/uncensored/genre/h1,廚房,キッチン,キッチン,廚房,
52,https://www.busfan.club/genre/52,處男,童貞,Cherry Boy,处男,
41,https://www.busfan.club/genre/41,處女,処女,Virgin,处女,
uncensored-t9,https://www.busfan.club/uncensored/genre/t9,處女作,初登場,初登場,處女作,
59,https://www.busfan.club/genre/59,觸手,触手,Tentacle,触手,
uncensored-103,https://www.busfan.club/uncensored/genre/103,床,ベッド,ベッド,床,
3r,https://www.busfan.club/genre/3r,粗暴,鬼畜,Rough Sex,粗暴,
4b,https://www.busfan.club/genre/4b,催眠,催眠・洗脳,Hypnotism,催眠,
uncensored-w,https://www.busfan.club/uncensored/genre/w,搭訕,ナンパ,ナンパ,搭訕,
uncensored-17y,https://www.busfan.club/uncensored/genre/17y,打底褲,レギンス,レギンス,打底褲,
uncensored-gre105,https://www.busfan.club/uncensored/genre/gre105,打飛機,ハード系,ハード系,打飛機,
uncensored-10u,https://www.busfan.club/uncensored/genre/10u,打屁股,スパンキング,love-spanking,打屁股,
x,https://www.busfan.club/genre/x,打手槍,手コキ,Handjob,打手枪,
uncensored-gre101,https://www.busfan.club/uncensored/genre/gre101,打樁機,マングリ返し,マングリ返し,打樁機,
uncensored-10q,https://www.busfan.club/uncensored/genre/10q,大便,うんち,うんち,大便,
uncensored-hb,https://www.busfan.club/uncensored/genre/hb,大街,街中,街中,大街,
uncensored-gre119,https://www.busfan.club/uncensored/genre/gre119,大量潮吹,大量潮吹き,大量潮吹き,大量潮吹,
uncensored-5d,https://www.busfan.club/uncensored/genre/5d,大學生,大学生,大学生,大學生,
uncensored-88,https://www.busfan.club/uncensored/genre/88,大衣,コート,コート,大衣,
uncensored-i0,https://www.busfan.club/uncensored/genre/i0,大陰蒂,巨大クリ,巨大クリ,大陰蒂,
f,https://www.busfan.club/genre/f,單體作品,単体作品,Featured Actress,单体作品,
10,https://www.busfan.club/genre/10,蕩婦,痴女,Slut,荡妇,
37,https://www.busfan.club/genre/37,倒追,逆ナン,Reverse Pick Up,倒追,
uncensored-13k,https://www.busfan.club/uncensored/genre/13k,地下室,地下室,Basement,地下室,
1g,https://www.busfan.club/genre/1g,第一人稱攝影,ハメ撮り,POV,第一人称摄影,
uncensored-gre001,https://www.busfan.club/uncensored/genre/gre001,第一視角,ハメ撮り,Fucking holding Camera,第一視角,
uncensored-48,https://www.busfan.club/uncensored/genre/48,店員,店員,店員,店員,
uncensored-gre120,https://www.busfan.club/uncensored/genre/gre120,電動按摩器,電マ,電マ,電動按摩器,
uncensored-34,https://www.busfan.club/uncensored/genre/34,電動陽具,ローター,ローター,電動陽具,
uncensored-gre137,https://www.busfan.club/uncensored/genre/gre137,電話,テレフォンセックス,テレフォンセックス,電話,
uncensored-5e,https://www.busfan.club/uncensored/genre/5e,電梯,エレベーター,エレベーター,電梯,
uncensored-12u,https://www.busfan.club/uncensored/genre/12u,電鑽,電気ドリル,Electric drill,電鑽,
uncensored-6t,https://www.busfan.club/uncensored/genre/6t,調教,調教,調教,調教,
uncensored-gre062,https://www.busfan.club/uncensored/genre/gre062,丁字褲,Tバック、まんぐり返し,Tバック、まんぐり返し,丁字褲,
6q,https://www.busfan.club/genre/6q,動画,動画,動画,, '動画'更偏向于电影、视频的意思，而且这个分类下面没有影片
64,https://www.busfan.club/genre/64,動畫人物,アニメキャラクター,Anime Character,动画人物,
uncensored-gre165,https://www.busfan.club/uncensored/genre/gre165,動漫,アニメ,Anime,動漫,
o,https://www.busfan.club/genre/o,獨立製作,インディーズ,Independent,独立制作,
uncensored-2a,https://www.busfan.club/uncensored/genre/2a,獨佔動畫,独占動画,独占動画,獨佔動畫,
7y,https://www.busfan.club/genre/7y,堵嘴·喜劇,ギャグ・コメディ,Gag·Comedy,堵嘴·喜剧,
uncensored-17i,https://www.busfan.club/uncensored/genre/17i,短褲,短パン,短パン,短褲,
3,https://www.busfan.club/genre/3,多P,3P・4P,Threesome / Foursome,多P,
uncensored-gre126,https://www.busfan.club/uncensored/genre/gre126,多P,３P,３P,多P,
uncensored-gre077,https://www.busfan.club/uncensored/genre/gre077,多毛,毛深い,毛深い,多毛,
uncensored-gre111,https://www.busfan.club/uncensored/genre/gre111,多人口交,Ｗフェラ,Ｗフェラ,多人口交,
3v,https://www.busfan.club/genre/3v,惡作劇,イタズラ,Pranks,恶作剧,
uncensored-m3,https://www.busfan.club/uncensored/genre/m3,惡作劇,ドッキリ,ドッキリ,惡作劇,
uncensored-wc,https://www.busfan.club/uncensored/genre/wc,兒子,息子,息子,兒子,
uncensored-gre109,https://www.busfan.club/uncensored/genre/gre109,二穴同入,アナルマンコ同時挿入,two-hole insertion,二穴同入,
uncensored-12l,https://www.busfan.club/uncensored/genre/12l,翻白眼,白目剥き,Swoon white of eyes,翻白眼,
uncensored-xx,https://www.busfan.club/uncensored/genre/xx,煩惱,悩み,悩み,煩惱,
uncensored-gre144,https://www.busfan.club/uncensored/genre/gre144,房間,部屋,部屋,房間,
uncensored-19o,https://www.busfan.club/uncensored/genre/19o,訪問,訪問,訪問,訪問,
19,https://www.busfan.club/genre/19,放尿,放尿,Urination,放尿,
f8,https://www.busfan.club/genre/f8,放置,放置,放置,, 没有合适的翻译，目前只有4部影片，且基本伴随着'拘束'分类，视为'拘束'的同义
1a,https://www.busfan.club/genre/1a,糞便,スカトロ,Scat,粪便,
uncensored-3y,https://www.busfan.club/uncensored/genre/3y,風格出眾,スタイル抜群,スタイル抜群,風格出眾,
uncensored-gre066,https://www.busfan.club/uncensored/genre/gre066,豐滿,ぽっちゃり,ぽっちゃり,豐滿,
uncensored-bm,https://www.busfan.club/uncensored/genre/bm,夫婦,夫婦,夫婦,夫婦,
uncensored-nc,https://www.busfan.club/uncensored/genre/nc,服侍,奉仕,奉仕,服侍,
7,https://www.busfan.club/genre/7,服務生,ウェイトレス,Waitress,服务生,
fe,https://www.busfan.club/genre/fe,福袋,福袋,福袋,福袋,
uncensored-he,https://www.busfan.club/uncensored/genre/he,附近,近所,近所,附近,
4v,https://www.busfan.club/genre/4v,複刻版,復刻,Reprint,重制版,
dz,https://www.busfan.club/genre/dz,覆面・マスク,覆面・マスク,覆面・マスク,蒙面,
r,https://www.busfan.club/genre/r,肛交,アナル,Anal,肛交,
uncensored-gre102,https://www.busfan.club/uncensored/genre/gre102,肛交,アナルバック,アナルバック,肛交,
uncensored-gre124,https://www.busfan.club/uncensored/genre/gre124,肛門,アナル,アナル,肛門,
6m,https://www.busfan.club/genre/6m,肛内中出,アナルセックス,AF,肛内中出,
uncensored-kv,https://www.busfan.club/uncensored/genre/kv,肛射,アナル中出し,Anal Creampie,肛射,
2i,https://www.busfan.club/genre/2i,高,長身,Tall Girl,高,
uncensored-gre108,https://www.busfan.club/uncensored/genre/gre108,高潮,アクメ,アクメ,高潮,
uncensored-gre074,https://www.busfan.club/uncensored/genre/gre074,高個子,長身,長身,高個子,
4o,https://www.busfan.club/genre/4o,高畫質,ハイビジョン,Hi-Def,,
hd,https://www.busfan.club/genre/hd,高清,高解像度,High Definition,, 画质、字幕相关的，要看实际下载的影片
uncensored-hd,https://www.busfan.club/uncensored/genre/hd,高清,高解像度,High Definition,高清,
uncensored-u4,https://www.busfan.club/uncensored/genre/u4,高手,タレント,タレント,高手,
b,https://www.busfan.club/genre/b,高中女生,女子校生,Schoolgirl,高中女生,
6b,https://www.busfan.club/genre/6b,哥德蘿莉,ゴシックロリータ,GothLoli,哥特萝莉,
2q,https://www.busfan.club/genre/2q,格鬥家,格闘家,Martial Arts,格斗家,
4h,https://www.busfan.club/genre/4h,格鬥家,アクション・格闘,Action & Fighting,格斗家,
26,https://www.busfan.club/genre/26,各種職業,職業色々,Various Worker,各种职业,
5t,https://www.busfan.club/genre/5t,給女性觀眾,女性向け,Boys Love,女性向,
uncensored-178,https://www.busfan.club/uncensored/genre/178,更衣室,脱衣所,脱衣所,更衣室,
uncensored-mr,https://www.busfan.club/uncensored/genre/mr,工作人員,スタッフ,スタッフ,工作人員,
uncensored-zj,https://www.busfan.club/uncensored/genre/zj,公共廁所,公衆便所,公衆便所,公共廁所,
uncensored-o8,https://www.busfan.club/uncensored/genre/o8,公交車,バス,バス,公交車,
uncensored-4z,https://www.busfan.club/uncensored/genre/4z,公司,会社,会社,公司,
uncensored-gre138,https://www.busfan.club/uncensored/genre/gre138,公寓,アパート,アパート,公寓,
uncensored-4m,https://www.busfan.club/uncensored/genre/4m,公園,公園,公園,公園,
5i,https://www.busfan.club/genre/5i,公主,お姫様,Princess,公主,
uncensored-gre019,https://www.busfan.club/uncensored/genre/gre019,勾引,逆ナン,逆ナン,勾引,
uncensored-17g,https://www.busfan.club/uncensored/genre/17g,購物,買い物,買い物,購物,
54,https://www.busfan.club/genre/54,故事集,複数話,Series,故事集,
2f,https://www.busfan.club/genre/2f,寡婦,未亡人,Widow,寡妇,
uncensored-ok,https://www.busfan.club/uncensored/genre/ok,寡婦,未亡人,未亡人,寡婦,
2u,https://www.busfan.club/genre/2u,灌腸,浣腸,Enema,灌肠,
uncensored-10w,https://www.busfan.club/uncensored/genre/10w,灌腸,浣腸,浣腸,灌腸,
uncensored-gre132,https://www.busfan.club/uncensored/genre/gre132,灌入精液,精液流し込み・押込み,Semen poured,灌入精液,
uncensored-ui,https://www.busfan.club/uncensored/genre/ui,鬼混,ピチピチ,ピチピチ,鬼混,
uncensored-7d,https://www.busfan.club/uncensored/genre/7d,跪求,土下座,土下座,跪求,
2c,https://www.busfan.club/genre/2c,國外進口,洋ピン・海外輸入,Foreign Imports,国外进口,
6w,https://www.busfan.club/genre/6w,汗だく,汗だく,Sweating,流汗,
uncensored-gre012,https://www.busfan.club/uncensored/genre/gre012,喝酒,酒,酒,喝酒,
uncensored-1cv,https://www.busfan.club/uncensored/genre/1cv,喝口水,唾液を飲む,saliva,喝口水,
uncensored-14v,https://www.busfan.club/uncensored/genre/14v,喝尿,飲尿,drinking piss,喝尿,
2,https://www.busfan.club/genre/2,合集,ベスト・総集編,Compilation,合集,
60,https://www.busfan.club/genre/60,合作作品,コラボ作品,Collaboration work,合作作品,
uncensored-3i,https://www.busfan.club/uncensored/genre/3i,和服,着物,着物,和服,
12,https://www.busfan.club/genre/12,和服・喪服,和服・浴衣,KIMONO,和服・丧服,
uncensored-6f,https://www.busfan.club/uncensored/genre/6f,和室,和室,和室,和室,
85,https://www.busfan.club/genre/85,黑暗系統,ダーク系,Dark system,黑暗系统,
5w,https://www.busfan.club/genre/5w,黑幫成員,極道・任侠,YAKUZA,黑帮成员,
uncensored-5g,https://www.busfan.club/uncensored/genre/5g,黑髮,黒髪,黒髪,黑髮,
uncensored-gre047,https://www.busfan.club/uncensored/genre/gre047,黑人,黒人とSEX,with a black man,黑人,
z,https://www.busfan.club/genre/z,黑人演員,黒人男優,Black Man,黑人演员,
uncensored-gre086,https://www.busfan.club/uncensored/genre/gre086,後入,バック,バック,後入,
uncensored-v4,https://www.busfan.club/uncensored/genre/v4,後入內射,バック中出し,Creampie-doggy,後入內射,
uncensored-17s,https://www.busfan.club/uncensored/genre/17s,虎牙,八重歯,八重歯,虎牙,
17,https://www.busfan.club/genre/17,护士,看護婦・ナース,Nurse,护士,
uncensored-gre035,https://www.busfan.club/uncensored/genre/gre035,護士,看護婦,Nurse,護士,
2t,https://www.busfan.club/genre/2t,花癡,淫乱・ハード系,Nymphomaniac,花痴,
e4,https://www.busfan.club/genre/e4,花嫁,花嫁,花嫁,新娘,
7z,https://www.busfan.club/genre/7z,幻想,ファンタジー,Fantasy,幻想,
uncensored-gre008,https://www.busfan.club/uncensored/genre/gre008,幻想,妄想,妄想,幻想,
uncensored-8i,https://www.busfan.club/uncensored/genre/8i,婚禮,ウェディング,ウェディング,婚禮,
uncensored-1dp,https://www.busfan.club/uncensored/genre/1dp,混血,ハーフ美女,Mixed Race,混血,
4x,https://www.busfan.club/genre/4x,肌肉,筋肉,Muscular,肌肉,
5c,https://www.busfan.club/genre/5c,及膝襪,ニーソックス,Knee-High Socks,及膝袜,
uncensored-hm,https://www.busfan.club/uncensored/genre/hm,極小比基尼,マイクロビキニ,マイクロビキニ,極小比基尼,
2n,https://www.busfan.club/genre/2n,纪录片,ドキュメンタリー,Documentary,纪录片,
