id,url,zh_cn,zh_tw,en,ja,translate,note,,
a5gq,https://www.b49t.com/cn/vl_genre.php?g=a5gq,介绍影片,介紹影片,Image Video,イメージビデオ,介绍影片,,,
pi,https://www.b49t.com/cn/vl_genre.php?g=pi,企画,企畫,Planning,企画,企画,,,
o4,https://www.b49t.com/cn/vl_genre.php?g=o4,伴侣,伴侶,Companion,コンパニオン,伴侣,,,
a5aa,https://www.b49t.com/cn/vl_genre.php?g=a5aa,修女,修女,Nun,シスター,修女,,,
pe,https://www.b49t.com/cn/vl_genre.php?g=pe,倒追,倒追,Reserved Role,逆ナン,倒追,,,
mq,https://www.b49t.com/cn/vl_genre.php?g=mq,偶像,偶像,Idol,アイドル,偶像,,,
a4nq,https://www.b49t.com/cn/vl_genre.php?g=a4nq,偷窥,偷窺,Peeping,覗き,偷窥,,,
ju,https://www.b49t.com/cn/vl_genre.php?g=ju,偷窥,偷窺,Voyeur,盗撮,偷窥,,,
aqnq,https://www.b49t.com/cn/vl_genre.php?g=aqnq,催眠,催眠,Hypnosis,催眠,催眠,,,
aqjq,https://www.b49t.com/cn/vl_genre.php?g=aqjq,兔女郎,兔女郎,Bunny Girl,バニーガール,兔女郎,,,
ku,https://www.b49t.com/cn/vl_genre.php?g=ku,全裸,全裸,Nude,全裸,全裸,,,
a5nq,https://www.b49t.com/cn/vl_genre.php?g=a5nq,公主,公主,Princess,お姫様,公主,,,
aqca,https://www.b49t.com/cn/vl_genre.php?g=aqca,其他学生,其他學生,Other Students,その他学生,其他学生,,,
im,https://www.b49t.com/cn/vl_genre.php?g=im,其他恋物癖,其他戀物癖,Other Fetish,その他フェチ,其他恋物癖,,,
ci,https://www.b49t.com/cn/vl_genre.php?g=ci,内衣,內衣,Lingerie,ランジェリー,内衣,,,
ii,https://www.b49t.com/cn/vl_genre.php?g=ii,内衣,內衣,Underwear,パンチラ,内衣,,,
arhq,https://www.b49t.com/cn/vl_genre.php?g=arhq,冒险,冒險,Adventure,アドベンチャー,冒险,,,
a5ka,https://www.b49t.com/cn/vl_genre.php?g=a5ka,写真偶像,寫真偶像,Gravure,グラビア,写真偶像,,,
b4,https://www.b49t.com/cn/vl_genre.php?g=b4,凌辱,凌辱,Abuse,凌辱,凌辱,,,
da,https://www.b49t.com/cn/vl_genre.php?g=da,出轨,出軌,Affair,不倫,出轨,,,
iq,https://www.b49t.com/cn/vl_genre.php?g=iq,制服,制服,Uniform,制服,制服,,,
aqwa,https://www.b49t.com/cn/vl_genre.php?g=aqwa,制服外套,制服外套,Blazer,ブレザー,制服外套,,,
a4pa,https://www.b49t.com/cn/vl_genre.php?g=a4pa,动画人物,動畫人物,Anime Characters,アニメキャラクター,动画人物,,,
lq,https://www.b49t.com/cn/vl_genre.php?g=lq,单体作品,單體作品,Solowork,単体作品,单体作品,,,
aqhq,https://www.b49t.com/cn/vl_genre.php?g=aqhq,即兴性交,即興性交,Impromptu Sex,即ハメ,即兴性交,,,
a4oa,https://www.b49t.com/cn/vl_genre.php?g=a4oa,历史剧,歷史劇,Historical Play,時代劇,历史剧,,,
aazq,https://www.b49t.com/cn/vl_genre.php?g=aazq,原作改编,原作改編,Original Collaboration,原作コラボ,原作改编,,,
a5aq,https://www.b49t.com/cn/vl_genre.php?g=a5aq,去背影片,去背影片,Chroma Key,クロマキー,去背影片,,,
a4ca,https://www.b49t.com/cn/vl_genre.php?g=a4ca,及膝袜,及膝襪,Knee Socks,ニーソックス,及膝袜,,,
azga,https://www.b49t.com/cn/vl_genre.php?g=azga,友谊,友誼,Friendship,友情,友谊,,,
ka,https://www.b49t.com/cn/vl_genre.php?g=ka,双性人,雙性人,Futanari,ふたなり,双性人,,,
aaxa,https://www.b49t.com/cn/vl_genre.php?g=aaxa,受孕,受孕,Conceived,孕ませ,受孕,,,
aa,https://www.b49t.com/cn/vl_genre.php?g=aa,变性者,變性者,Transsexual,ニューハーフ,变性者,,,
bu,https://www.b49t.com/cn/vl_genre.php?g=bu,口交,口交,Blow,フェラ,口交,,,
dy,https://www.b49t.com/cn/vl_genre.php?g=dy,各种职业,各種職業,Various Professions,職業色々,各种职业,,,
arfa,https://www.b49t.com/cn/vl_genre.php?g=arfa,后母,後母,Stepmother,義母,后母,,,
ce,https://www.b49t.com/cn/vl_genre.php?g=ce,吞精,吞精,Cum,ごっくん,吞精,,,
aqga,https://www.b49t.com/cn/vl_genre.php?g=aqga,和服、丧服,和服、喪服,"Kimono, Mourning",和服、喪服,和服、丧服,,,
azaa,https://www.b49t.com/cn/vl_genre.php?g=azaa,喜剧,喜劇,Comedy,コメディー,喜剧,,,
aqka,https://www.b49t.com/cn/vl_genre.php?g=aqka,国外进口,國外進口,Oversea Import,海外輸入,国外进口,,,
arnq,https://www.b49t.com/cn/vl_genre.php?g=arnq,处女,處女,Virgin,処女,处女,,,
area,https://www.b49t.com/cn/vl_genre.php?g=area,处男,處男,Virgin Man,童貞,处男,,,
ke,https://www.b49t.com/cn/vl_genre.php?g=ke,多P,多P,"3p, 4p",3P、4P,多P,,,
mu,https://www.b49t.com/cn/vl_genre.php?g=mu,大小姐,大小姐,Miss,お嬢様,大小姐,,,
a4tq,https://www.b49t.com/cn/vl_genre.php?g=a4tq,天赋,天賦,Talent,タレント,天赋,,,
a46q,https://www.b49t.com/cn/vl_genre.php?g=a46q,奇异的,奇異的,Bizarre,猟奇,奇异的,,,
mm,https://www.b49t.com/cn/vl_genre.php?g=mm,女上位,女上位,Cowgirl,騎乗位,女上位,,,
aqeq,https://www.b49t.com/cn/vl_genre.php?g=aqeq,女主播,女主播,Anchorwoman,女子アナ,女主播,,,
jm,https://www.b49t.com/cn/vl_genre.php?g=jm,女优按摩棒,女優按摩棒,Electric Massager,電マ,女优按摩棒,,,
kq,https://www.b49t.com/cn/vl_genre.php?g=kq,女佣,女傭,Maid,メイド,女佣,,,
aqea,https://www.b49t.com/cn/vl_genre.php?g=aqea,女儿,女兒,Daughter,令嬢,女儿,,,
ca,https://www.b49t.com/cn/vl_genre.php?g=ca,女医生,女醫生,Female Doctor,女医,女医生,,,
km,https://www.b49t.com/cn/vl_genre.php?g=km,女同性恋,女同性戀,Lesbian,レズ,女同性恋,,,
aq5q,https://www.b49t.com/cn/vl_genre.php?g=aq5q,女同接吻,女同接吻,Lesbian Kiss,レズキス,女同接吻,,,
de,https://www.b49t.com/cn/vl_genre.php?g=de,女大学生,女大學生,College Students,女子大生,女大学生,,,
a4oq,https://www.b49t.com/cn/vl_genre.php?g=a4oq,女忍者,女忍者,Female Ninja,くノ一,女忍者,,,
a4kq,https://www.b49t.com/cn/vl_genre.php?g=a4kq,女战士,女戰士,Female Warrior,女戦士,女战士,,,
i4,https://www.b49t.com/cn/vl_genre.php?g=i4,女教师,女教師,Female Teacher,女教師,女教师,,,
a4wa,https://www.b49t.com/cn/vl_genre.php?g=a4wa,女检察官,女檢察官,Female Investigator,女捜査官,女检察官,,,
a4aa,https://www.b49t.com/cn/vl_genre.php?g=a4aa,女祭司,女祭司,Priestess,巫女,女祭司,,,
aqqq,https://www.b49t.com/cn/vl_genre.php?g=aqqq,女装人妖,女裝人妖,Cross Dressing,女装・男の娘,女装人妖,,,
ay,https://www.b49t.com/cn/vl_genre.php?g=ay,奴隶,奴隸,Slave,奴隷,奴隶,,,
aqkq,https://www.b49t.com/cn/vl_genre.php?g=aqkq,妄想,妄想,Delusion,妄想,妄想,,,
du,https://www.b49t.com/cn/vl_genre.php?g=du,妓女,妓女,Prostitutes,風俗嬢,妓女,,,
arpa,https://www.b49t.com/cn/vl_genre.php?g=arpa,妹妹,妹妹,Sister,妹,妹妹,,,
jq,https://www.b49t.com/cn/vl_genre.php?g=jq,姐姐,姐姐,Older Sister,お姉さん,姐姐,,,
a4iq,https://www.b49t.com/cn/vl_genre.php?g=a4iq,娃娃,娃娃,Doll,ドール,娃娃,,,
a4cq,https://www.b49t.com/cn/vl_genre.php?g=a4cq,子宫颈,子宮頸,Cervix,ポルチオ,子宫颈,,,
aq3q,https://www.b49t.com/cn/vl_genre.php?g=aq3q,孕妇,孕婦,Pregnant Woman,妊婦,孕妇,,,
cy,https://www.b49t.com/cn/vl_genre.php?g=cy,学校作品,學校作品,School Stuff,学園もの,学校作品,,,
na,https://www.b49t.com/cn/vl_genre.php?g=na,学校泳装,學校泳裝,School Swimsuit,スクール水着,学校泳装,,,
dm,https://www.b49t.com/cn/vl_genre.php?g=dm,家教,家教,Tutor,家庭教師,家教,,,
aqvq,https://www.b49t.com/cn/vl_genre.php?g=aqvq,寡妇,寡婦,Widow,未亡人,寡妇,,,
ayda,https://www.b49t.com/cn/vl_genre.php?g=ayda,导尿,導尿,Urethral Cathing,尿道カテーテル,导尿,,,
aqfa,https://www.b49t.com/cn/vl_genre.php?g=aqfa,局部特写,局部特寫,Close Up,局部アップ,局部特写,,,
arga,https://www.b49t.com/cn/vl_genre.php?g=arga,屁股,屁股,Butt,尻フェチ,屁股,,,
aqmq,https://www.b49t.com/cn/vl_genre.php?g=aqmq,展场女孩,展場女孩,Booth Girl,キャンギャル,展场女孩,,,
pq,https://www.b49t.com/cn/vl_genre.php?g=pq,巨乳,巨乳,Big Tits,巨乳,巨乳,,,
aayq,https://www.b49t.com/cn/vl_genre.php?g=aayq,巨大屁股,巨大屁股,Huge Butt,巨尻,巨大屁股,,,
p4,https://www.b49t.com/cn/vl_genre.php?g=p4,已婚妇女,已婚婦女,Married Woman,人妻,已婚妇女,,,
a4ta,https://www.b49t.com/cn/vl_genre.php?g=a4ta,帽型,帽型,Hat Type,ハットタイプ,帽型,,,
aqtq,https://www.b49t.com/cn/vl_genre.php?g=aqtq,平胸,平胸,Tits,微乳,平胸,,,
aqsa,https://www.b49t.com/cn/vl_genre.php?g=aqsa,年轻女孩,年輕女孩,Young Gals,コギャル,年轻女孩,,,
ne,https://www.b49t.com/cn/vl_genre.php?g=ne,强奸,強姦,Rape,レイプ,强奸,,,
bi,https://www.b49t.com/cn/vl_genre.php?g=bi,强奸,強姦,Rape,強姦,强奸,,,
ayiq,https://www.b49t.com/cn/vl_genre.php?g=ayiq,形象俱乐部,形象俱樂部,Image Club,イメクラ,形象俱乐部,,,
a4vq,https://www.b49t.com/cn/vl_genre.php?g=a4vq,心理、惊悚片,心理、驚悚片,"Psycho, Thriller",サイコ、スリラー,心理、惊悚片,,,
a4jq,https://www.b49t.com/cn/vl_genre.php?g=a4jq,性感的,性感的,Sexy,セクシー,性感的,,,
a47q,https://www.b49t.com/cn/vl_genre.php?g=a47q,性爱,性愛,Eros,エロス,性爱,,,
arkq,https://www.b49t.com/cn/vl_genre.php?g=arkq,性骚扰,性騷擾,Molester,痴漢,性骚扰,,,
araa,https://www.b49t.com/cn/vl_genre.php?g=araa,恋乳癖,戀乳癖,Busty Fetish,巨乳フェチ,恋乳癖,,,
a5bq,https://www.b49t.com/cn/vl_genre.php?g=a5bq,恋爱,戀愛,Love,恋愛,恋爱,,,
j4,https://www.b49t.com/cn/vl_genre.php?g=j4,恋物癖,戀物癖,Fetish,フェチ,恋物癖,,,
aqda,https://www.b49t.com/cn/vl_genre.php?g=aqda,恋腿癖,戀腿癖,Leg Fetish,脚フェチ,恋腿癖,,,
a5ma,https://www.b49t.com/cn/vl_genre.php?g=a5ma,恐怖,恐怖,Horror,ホラー,恐怖,,,
arjq,https://www.b49t.com/cn/vl_genre.php?g=arjq,恶作剧,惡作劇,Prank,イタズラ,恶作剧,,,
a4rq,https://www.b49t.com/cn/vl_genre.php?g=a4rq,悬疑,懸疑,Suspense,サスペンス,悬疑,,,
aqpq,https://www.b49t.com/cn/vl_genre.php?g=aqpq,情侣,情侶,Couple,カップル,情侣,,,
ayna,https://www.b49t.com/cn/vl_genre.php?g=ayna,感官作品,感官作品,Sensuality,官能作品,感官作品,,,
aroa,https://www.b49t.com/cn/vl_genre.php?g=aroa,戏剧,戲劇,Drama,ドラマ,戏剧,,,
a4eq,https://www.b49t.com/cn/vl_genre.php?g=a4eq,成人动漫,成人動漫,Adult Anime,アダルトアニメ,成人动漫,,,
arka,https://www.b49t.com/cn/vl_genre.php?g=arka,成人电影,成人電影,Adult Movie,成人向け映画,成人电影,,,
argq,https://www.b49t.com/cn/vl_genre.php?g=argq,成熟的女人,成熟的女人,Mature Woman,熟女,成熟的女人,,,
a5ba,https://www.b49t.com/cn/vl_genre.php?g=a5ba,战斗行动,戰鬥行動,Fighting Action,アクション格闘,战斗行动,,,
la,https://www.b49t.com/cn/vl_genre.php?g=la,户外,戶外,Outdoors,野外,户外,,,
nu,https://www.b49t.com/cn/vl_genre.php?g=nu,手指插入,手指插入,Finger Fuck,指マン,手指插入,,,
bq,https://www.b49t.com/cn/vl_genre.php?g=bq,打手枪,打手槍,Handjob,手コキ,打手枪,,,
by,https://www.b49t.com/cn/vl_genre.php?g=by,投稿,投稿,User Submission,投稿,投稿,,,
arca,https://www.b49t.com/cn/vl_genre.php?g=arca,护士,護士,Nurse,看護婦,护士,,,
ki,https://www.b49t.com/cn/vl_genre.php?g=ki,拘束,拘束,Restraint,拘束,拘束,,,
arma,https://www.b49t.com/cn/vl_genre.php?g=arma,拳交,拳交,Fisting,フィスト,拳交,,,
c4,https://www.b49t.com/cn/vl_genre.php?g=c4,按摩,按摩,Massage,マッサージ,按摩,,,
lu,https://www.b49t.com/cn/vl_genre.php?g=lu,按摩棒,按摩棒,Vibe,バイブ,按摩棒,,,
je,https://www.b49t.com/cn/vl_genre.php?g=je,捆绑,綑綁,Restraints,縛り,捆绑,,,
aqza,https://www.b49t.com/cn/vl_genre.php?g=aqza,排便,排便,Defecation,脱糞,排便,,,
aa7a,https://www.b49t.com/cn/vl_genre.php?g=aa7a,接吻,接吻,Kiss,キス・接吻,接吻,,,
araq,https://www.b49t.com/cn/vl_genre.php?g=araq,插入异物,插入異物,Foreign Objects,異物挿入,插入异物,,,
arbq,https://www.b49t.com/cn/vl_genre.php?g=arbq,放尿,放尿,Urination,放尿,放尿,,,
a4dq,https://www.b49t.com/cn/vl_genre.php?g=a4dq,故事集,故事集,Multiple Story,複数話,故事集,,,
ayoq,https://www.b49t.com/cn/vl_genre.php?g=ayoq,教学,教學,How To,How To,教学,,,
ayma,https://www.b49t.com/cn/vl_genre.php?g=ayma,数位马赛克,數位馬賽克,Digital Mosaic,デジモ,数位马赛克,,,
ayla,https://www.b49t.com/cn/vl_genre.php?g=ayla,文化,文化,Culture,カルチャー,文化,,,
ni,https://www.b49t.com/cn/vl_genre.php?g=ni,新娘、年轻妻子,新娘、年輕妻子,"Bride, Young Wife",花嫁、若妻,新娘、年轻妻子,,,
aq2a,https://www.b49t.com/cn/vl_genre.php?g=aq2a,旗袍,旗袍,Cheongsam,チャイナドレス,旗袍,,,
aqoa,https://www.b49t.com/cn/vl_genre.php?g=aqoa,无毛,無毛,Shaved,パイパン,无毛,,,
abpq,https://www.b49t.com/cn/vl_genre.php?g=abpq,时间停止,時間停止,Time Stop,時間停止,时间停止,,,
arcq,https://www.b49t.com/cn/vl_genre.php?g=arcq,明星脸,明星臉,Look-alike,そっくりさん,明星脸,,,
aa7q,https://www.b49t.com/cn/vl_genre.php?g=aa7q,晒黑,曬黑,Sun tan,日焼け,晒黑,,,
a4ra,https://www.b49t.com/cn/vl_genre.php?g=a4ra,暗黑系,暗黑系,Dark System,ダーク系,暗黑系,,,
aqta,https://www.b49t.com/cn/vl_genre.php?g=aqta,服务生,服務生,Waitress,ウェイトレス,服务生,,,
amjq,https://www.b49t.com/cn/vl_genre.php?g=amjq,极致·性高潮,極致·性高潮,Acme · Orgasm,アクメ・オーガズム,极致·性高潮,,,
aq2q,https://www.b49t.com/cn/vl_genre.php?g=aq2q,校服,校服,School Uniform,学生服,校服,,,
aq6q,https://www.b49t.com/cn/vl_genre.php?g=aq6q,格斗家,格鬥家,Fighters,格闘家,格斗家,,,
arha,https://www.b49t.com/cn/vl_genre.php?g=arha,模拟,模擬,Simulation,シミュレーション,模拟,,,
aqlq,https://www.b49t.com/cn/vl_genre.php?g=aqlq,模特儿,模特兒,Model,モデル,模特儿,,,
a4za,https://www.b49t.com/cn/vl_genre.php?g=a4za,歌德萝莉,歌德蘿莉,Lolita Gothic,ゴスロリ,歌德萝莉,,,
arfq,https://www.b49t.com/cn/vl_genre.php?g=arfq,正太控,正太控,Shotacon,ショタ,正太控,,,
a5lq,https://www.b49t.com/cn/vl_genre.php?g=a5lq,正常,正常,Normal,ノーマル,正常,,,
a46a,https://www.b49t.com/cn/vl_genre.php?g=a46a,残忍画面,殘忍畫面,Cruel Expression,残虐表現,残忍画面,,,
py,https://www.b49t.com/cn/vl_genre.php?g=py,母乳,母乳,Breast Milk,母乳,母乳,,,
aqaq,https://www.b49t.com/cn/vl_genre.php?g=aqaq,母亲,母親,Mother,お母さん,母亲,,,
k4,https://www.b49t.com/cn/vl_genre.php?g=k4,水手服,水手服,Sailor Suit,セーラー服,水手服,,,
li,https://www.b49t.com/cn/vl_genre.php?g=li,汽车性爱,汽車性愛,Car Sex,カーセックス,汽车性爱,,,
a5mq,https://www.b49t.com/cn/vl_genre.php?g=a5mq,法国,法國,France,フランス,法国,,,
amoq,https://www.b49t.com/cn/vl_genre.php?g=amoq,泡沫浴,泡沫浴,Soapland,ヘルス・ソープ,泡沫浴,,,
aqja,https://www.b49t.com/cn/vl_genre.php?g=aqja,泡泡袜,泡泡襪,Loose Socks,ルーズソックス,泡泡袜,,,
aqiq,https://www.b49t.com/cn/vl_genre.php?g=aqiq,泳装,泳裝,Swimsuit,水着,泳装,,,
ba,https://www.b49t.com/cn/vl_genre.php?g=ba,洗澡,洗澡,Bath,お風呂,洗澡,,,
aa4q,https://www.b49t.com/cn/vl_genre.php?g=aa4q,流汗,流汗,Sweat,汗だく,流汗,,,
nq,https://www.b49t.com/cn/vl_genre.php?g=nq,浴衣,浴衣,Yukata,浴衣,浴衣,,,
a5fq,https://www.b49t.com/cn/vl_genre.php?g=a5fq,海外,海外,Overseas,海外,海外,,,
a4xa,https://www.b49t.com/cn/vl_genre.php?g=a4xa,淋浴,淋浴,Shower,シャワー,淋浴,,,
ma,https://www.b49t.com/cn/vl_genre.php?g=ma,淫乱、真实,淫亂、真實,"Nasty, Hardcore",淫乱、ハード系,淫乱、真实,,,
oa,https://www.b49t.com/cn/vl_genre.php?g=oa,淫语,淫語,Dirty Words,淫語,淫语,,,
aqoq,https://www.b49t.com/cn/vl_genre.php?g=aqoq,深喉,深喉,Deep Throating,イラマチオ,深喉,,,
aa3a,https://www.b49t.com/cn/vl_genre.php?g=aa3a,温泉,温泉,Hot Spring,温泉,温泉,,,
a4pq,https://www.b49t.com/cn/vl_genre.php?g=a4pq,滑稽模仿,滑稽模仿,Parody,パロディ,滑稽模仿,,,
aqma,https://www.b49t.com/cn/vl_genre.php?g=aqma,滥交,濫交,Promiscuity,乱交,滥交,,,
ou,https://www.b49t.com/cn/vl_genre.php?g=ou,潮吹,潮吹,Squirting,潮吹き,潮吹,,,
iu,https://www.b49t.com/cn/vl_genre.php?g=iu,灌肠,灌腸,Enema,浣腸,灌肠,,,
aqla,https://www.b49t.com/cn/vl_genre.php?g=aqla,烂醉如泥的,爛醉如泥的,Dead Drunk,泥酔,烂醉如泥的,,,
azgq,https://www.b49t.com/cn/vl_genre.php?g=azgq,爱好、文化,愛好、文化,"Hobby, Culture",趣味、教養,爱好、文化,,,
a5pq,https://www.b49t.com/cn/vl_genre.php?g=a5pq,爱情故事,愛情故事,Love Story,ラブストーリー,爱情故事,,,
a4ka,https://www.b49t.com/cn/vl_genre.php?g=a4ka,爱情浪漫,愛情浪漫,Love Romance,ラブロマンス,爱情浪漫,,,
a4mq,https://www.b49t.com/cn/vl_genre.php?g=a4mq,特效,特效,Special Effects,特撮,特效,,,
a4gq,https://www.b49t.com/cn/vl_genre.php?g=a4gq,独立制作,獨立製作,Independents,インディーズ,独立制作,,,
ja,https://www.b49t.com/cn/vl_genre.php?g=ja,猎艳,獵豔,Nampa,ナンパ,猎艳,,,
a4da,https://www.b49t.com/cn/vl_genre.php?g=a4da,猥亵穿着,猥褻穿著,Erotic Wear,着エロ,猥亵穿着,,,
aqha,https://www.b49t.com/cn/vl_genre.php?g=aqha,猫耳女,貓耳女,Catgirl,ネコミミ,猫耳女,,,
aqba,https://www.b49t.com/cn/vl_genre.php?g=aqba,玩具,玩具,Toy,おもちゃ,玩具,,,
aqya,https://www.b49t.com/cn/vl_genre.php?g=aqya,男同性恋,男同性戀,Gay,ゲイ,男同性恋,,,
a4sq,https://www.b49t.com/cn/vl_genre.php?g=a4sq,男性,男性,Male,男性,男性,,,
aqsq,https://www.b49t.com/cn/vl_genre.php?g=aqsq,瘦小身型,瘦小身型,Mini,ミニ系,瘦小身型,,,
aqra,https://www.b49t.com/cn/vl_genre.php?g=aqra,白人,白人,White Actress,白人女優,白人,,,
arna,https://www.b49t.com/cn/vl_genre.php?g=arna,白天出轨,白天出軌,Cuckold,寝取り、寝取られ,白天出轨,,,
arpq,https://www.b49t.com/cn/vl_genre.php?g=arpq,监禁,監禁,Confinement,監禁,监禁,,,
ny,https://www.b49t.com/cn/vl_genre.php?g=ny,眼镜,眼鏡,Glasses,めがね,眼镜,,,
aqpa,https://www.b49t.com/cn/vl_genre.php?g=aqpa,礼仪小姐,禮儀小姐,Hostesses,キャバ嬢,礼仪小姐,,,
a4ma,https://www.b49t.com/cn/vl_genre.php?g=a4ma,科幻,科幻,SF,SF,科幻,,,
armq,https://www.b49t.com/cn/vl_genre.php?g=armq,秘书,秘書,Secretary,秘書,秘书,,,
arba,https://www.b49t.com/cn/vl_genre.php?g=arba,空中小姐,空中小姐,Stewardess,スチュワーデス,空中小姐,,,
azca,https://www.b49t.com/cn/vl_genre.php?g=azca,童年朋友,童年朋友,Childhood Friend,幼なじみ,童年朋友,,,
m4,https://www.b49t.com/cn/vl_genre.php?g=m4,第一人称摄影,第一人稱攝影,POV,ハメ撮り,第一人称摄影,,,
aa4a,https://www.b49t.com/cn/vl_genre.php?g=aa4a,粉丝感谢,粉絲感謝,Fan Appreciation,ファン感謝・訪問,粉丝感谢,,,
aq3a,https://www.b49t.com/cn/vl_genre.php?g=aq3a,粪便,糞便,Scatology,スカトロ,粪便,,,
oe,https://www.b49t.com/cn/vl_genre.php?g=oe,精选、综合,精選、綜合,"Best, Omnibus",ベスト、総集編,精选、综合,,,
aq7a,https://www.b49t.com/cn/vl_genre.php?g=aq7a,紧缚,緊縛,Bondage,ボンテージ,紧缚,,,
cq,https://www.b49t.com/cn/vl_genre.php?g=cq,紧身衣,緊身衣,Leotard,レオタード,紧身衣,,,
arda,https://www.b49t.com/cn/vl_genre.php?g=arda,纪录片,紀錄片,Documentary,ドキュメント,纪录片,,,
aqzq,https://www.b49t.com/cn/vl_genre.php?g=aqzq,经典,經典,Classic,クラシック,经典,,,
ayca,https://www.b49t.com/cn/vl_genre.php?g=ayca,给女性观众,給女性觀眾,For Women,女性向け,给女性观众,,,
azbq,https://www.b49t.com/cn/vl_genre.php?g=azbq,综合短篇,綜合短篇,Omnibus,オムニバス,综合短篇,,,
ia,https://www.b49t.com/cn/vl_genre.php?g=ia,美容院,美容院,Beauty Shop,エステ,美容院,,,
me,https://www.b49t.com/cn/vl_genre.php?g=me,美少女,美少女,Beautiful Girl,美少女,美少女,,,
ayjq,https://www.b49t.com/cn/vl_genre.php?g=ayjq,美少女电影,美少女電影,Girl Movie,美少女ムービー,美少女电影,,,
lm,https://www.b49t.com/cn/vl_genre.php?g=lm,羞耻,羞恥,Humiliation,羞恥,羞耻,,,
aqaa,https://www.b49t.com/cn/vl_genre.php?g=aqaa,老板娘、女主人,老闆娘、女主人,"Landlady, Hostess",女将、女主人,老板娘、女主人,,,
a5ga,https://www.b49t.com/cn/vl_genre.php?g=a5ga,肌肉,肌肉,Muscle,筋肉,肌肉,,,
am,https://www.b49t.com/cn/vl_genre.php?g=am,肛交,肛交,Anal,アナル,肛交,,,
aqyq,https://www.b49t.com/cn/vl_genre.php?g=aqyq,胖女人,胖女人,BBW,ぽっちゃり,胖女人,,,
a4ia,https://www.b49t.com/cn/vl_genre.php?g=a4ia,脱衣,脫衣,Undressing,脱衣,脱衣,,,
l4,https://www.b49t.com/cn/vl_genre.php?g=l4,自慰,自慰,Masturbation,オナニー,自慰,,,
oi,https://www.b49t.com/cn/vl_genre.php?g=oi,舔阴,舔陰,Cunnilingus,クンニ,舔阴,,,
a4lq,https://www.b49t.com/cn/vl_genre.php?g=a4lq,艺人,藝人,Entertainer,芸能人,艺人,,,
bm,https://www.b49t.com/cn/vl_genre.php?g=bm,苗条,苗條,Slender,スレンダー,苗条,,,
nm,https://www.b49t.com/cn/vl_genre.php?g=nm,荡妇,蕩婦,Slut,痴女,荡妇,,,
aqwq,https://www.b49t.com/cn/vl_genre.php?g=aqwq,药物,藥物,Drug,ドラッグ,药物,,,
ly,https://www.b49t.com/cn/vl_genre.php?g=ly,萝莉塔,蘿莉塔,Lolita,ロリ系,萝莉塔,,,
